#label	HHS_region	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_display_name	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	biosample_acc	collected_by	collection_date	complete_fl	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	outbreak	sample_name	scientific_name	serovar	species_taxid	sra_center	sra_release_date	strain	sub_species	target_acc	target_creation_date	tax-id	wgs_acc_prefix	wgs_master_acc
PDT000004536.2|SAMEA1705929|GCA_000009085.1|Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819||||Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000009085.1	ASM908v1	Complete Genome	1641481	1641481	1	NULL	Generic	PRJNA8	SAMEA1705929	NULL	NULL	1	9888	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	NULL	197	NULL	NULL	NULL	NULL	PDT000004536.2	2010-05-12	192222	NULL	NULL
PDT000004644.2|SAMN02604007|GCA_000011865.1|Campylobacter jejuni RM1221|||RM1221|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000011865.1	ASM1186v1	Complete Genome	1777831	1777831	1	NULL	Generic	PRJNA303	SAMN02604007	NULL	NULL	1	12668	NULL	NULL	NULL	NULL	NULL	NULL	CP000025	Campylobacter jejuni RM1221	NULL	197	NULL	NULL	RM1221	NULL	PDT000004644.2	2010-05-12	195099	NULL	NULL
PDT000004797.2|SAMN02604050|GCA_000015085.1|Campylobacter fetus subsp. fetus 82-40|fetus||82-40|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000015085.1	ASM1508v1	Complete Genome	1773615	1773615	1	NULL	Generic	PRJNA16293	SAMN02604050	NULL	NULL	1	15888	NULL	NULL	NULL	NULL	NULL	NULL	CP000487	Campylobacter fetus subsp. fetus 82-40	NULL	196	NULL	NULL	82-40	fetus	PDT000004797.2	2010-05-12	360106	NULL	NULL
PDT000004816.2|SAMN02604044|GCA_000015525.1|Campylobacter jejuni subsp. jejuni 81-176|jejuni||81-176|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000015525.1	ASM1552v1	Complete Genome	1616554	1699052	3	NULL	Generic	PRJNA16135	SAMN02604044	NULL	NULL	1	16328	NULL	NULL	NULL	NULL	NULL	NULL	CP000538	Campylobacter jejuni subsp. jejuni 81-176	NULL	197	NULL	NULL	81-176	jejuni	PDT000004816.2	2010-05-12	354242	NULL	NULL
PDT000004897.2|SAMN02604056|GCA_000017485.1|Campylobacter jejuni subsp. doylei 269.97|doylei||269.97|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000017485.1	ASM1748v1	Complete Genome	1845106	1845106	1	NULL	Generic	PRJNA17163	SAMN02604056	NULL	NULL	1	18288	NULL	NULL	NULL	NULL	NULL	NULL	CP000768	Campylobacter jejuni subsp. doylei 269.97	NULL	197	NULL	NULL	269.97	doylei	PDT000004897.2	2010-05-12	360109	NULL	NULL
PDT000004917.2|SAMN02603008|GCA_000017905.1|Campylobacter jejuni subsp. jejuni 81116|jejuni||81116; NCTC 11828|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000017905.1	ASM1790v1	Complete Genome	1628115	1628115	1	NULL	Generic	PRJNA17953	SAMN02603008	NULL	NULL	1	18708	NULL	NULL	NULL	NULL	NULL	NULL	CP000814	Campylobacter jejuni subsp. jejuni 81116	NULL	197	NULL	NULL	81116; NCTC 11828	jejuni	PDT000004917.2	2010-05-12	407148	NULL	NULL
PDT000005889.2|SAMN02471182|GCA_000163975.1|Campylobacter jejuni subsp. jejuni 1336|jejuni||1336|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000163975.1	ASM16397v1	Chromosome	104547	1702833	35	NULL	Generic	PRJNA33777	SAMN02471182	NULL	NULL	1	198658	NULL	NULL	NULL	NULL	NULL	NULL	ADGL	Campylobacter jejuni subsp. jejuni 1336	NULL	197	NULL	NULL	1336	jejuni	PDT000005889.2	2010-10-15	683082	ADGL	ADGL00000000.1
PDT000005944.2|SAMN02435839|GCA_000168115.1|Campylobacter jejuni subsp. jejuni CF93-6|||CF93-6|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000168115.1	ASM16811v1	Contig	181532	1676304	14	NULL	Generic	PRJNA16265	SAMN02435839	NULL	NULL	1	204758	NULL	NULL	NULL	NULL	NULL	NULL	AANJ	Campylobacter jejuni subsp. jejuni CF93-6	NULL	197	NULL	NULL	CF93-6	NULL	PDT000005944.2	2010-11-18	360111	AANJ	AANJ00000000.1
PDT000005945.2|SAMN02435860|GCA_000168135.1|Campylobacter jejuni subsp. jejuni 260.94|||260.94|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000168135.1	ASM16813v1	Contig	324320	1657846	10	NULL	Generic	PRJNA16229	SAMN02435860	NULL	NULL	1	204798	NULL	NULL	NULL	NULL	NULL	NULL	AANK	Campylobacter jejuni subsp. jejuni 260.94	NULL	197	NULL	NULL	260.94	NULL	PDT000005945.2	2010-11-18	360108	AANK	AANK00000000.1
PDT000005946.2|SAMN02435861|GCA_000168175.1|Campylobacter jejuni subsp. jejuni HB93-13|||HB93-13|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000168175.1	ASM16817v1	Scaffold	389058	1694788	35	NULL	Generic	PRJNA16267	SAMN02435861	NULL	NULL	1	204878	NULL	NULL	NULL	NULL	NULL	NULL	AANQ	Campylobacter jejuni subsp. jejuni HB93-13	NULL	197	NULL	NULL	HB93-13	NULL	PDT000005946.2	2010-11-18	360112	AANQ	AANQ00000000.1
PDT000005947.2|SAMN02435873|GCA_000168195.1|Campylobacter jejuni subsp. jejuni 84-25|||84-25|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000168195.1	ASM16819v1	Contig	299914	1671624	5	NULL	Generic	PRJNA16367	SAMN02435873	NULL	NULL	1	204918	NULL	NULL	NULL	NULL	NULL	NULL	AANT	Campylobacter jejuni subsp. jejuni 84-25	NULL	197	NULL	NULL	84-25	NULL	PDT000005947.2	2010-11-18	360110	AANT	AANT00000000.2
PDT000006084.3|SAMN02470701|GCA_000171795.2|Campylobacter jejuni subsp. jejuni CG8421|jejuni||CG8421|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000171795.2	ASM17179v2	Complete Genome	1636029	1636029	1	NULL	Generic	PRJNA21037	SAMN02470701	NULL	NULL	1	1058348	NULL	NULL	NULL	NULL	NULL	NULL	ABGQ	Campylobacter jejuni subsp. jejuni CG8421	NULL	197	NULL	NULL	CG8421	jejuni	PDT000006084.3	2014-05-05	478547	NULL	NULL
PDT000006469.2|SAMN02472139|GCA_000168755.1|Campylobacter jejuni subsp. jejuni 81-176|jejuni||81-176|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000168755.1	ASM16875v1	Complete Genome	1616175	1616175	1	NULL	Generic	PRJNA17341	SAMN02472139	NULL	NULL	1	205978	NULL	NULL	NULL	NULL	NULL	NULL	AASL	Campylobacter jejuni subsp. jejuni 81-176	NULL	197	NULL	NULL	81-176	jejuni	PDT000006469.2	2010-11-18	354242	AASL	AASL00000000.1
PDT000007524.2|SAMN02603174|GCA_000148705.1|Campylobacter jejuni subsp. jejuni M1|jejuni||M1|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000148705.1	ASM14870v1	Complete Genome	1616648	1616648	1	NULL	Generic	PRJNA38041	SAMN02603174	NULL	NULL	1	171718	NULL	NULL	NULL	NULL	NULL	NULL	CP001900	Campylobacter jejuni subsp. jejuni M1	NULL	197	NULL	NULL	M1	jejuni	PDT000007524.2	2010-09-28	645464	NULL	NULL
PDT000007532.2|SAMN02603954|GCA_000184205.1|Campylobacter jejuni subsp. jejuni S3|jejuni||S3|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000184205.1	ASM18420v1	Complete Genome	1681364	1724586	2	NULL	Generic	PRJNA45947	SAMN02603954	NULL	NULL	1	237508	NULL	NULL	NULL	NULL	NULL	NULL	CP001960	Campylobacter jejuni subsp. jejuni S3	NULL	197	NULL	NULL	S3	jejuni	PDT000007532.2	2010-12-15	718271	NULL	NULL
PDT000007533.2|SAMN02603425|GCA_000025425.1|Campylobacter jejuni subsp. jejuni IA3902|jejuni|||Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000025425.1	ASM2542v1	Complete Genome	1635045	1672219	2	NULL	Generic	PRJNA28907	SAMN02603425	NULL	NULL	1	26228	NULL	sheep	NULL	aborted placenta	NULL	NULL	CP001876	Campylobacter jejuni subsp. jejuni IA3902	NULL	197	NULL	NULL	NULL	jejuni	PDT000007533.2	2010-05-12	567106	NULL	NULL
